answer_llm,answer_orig,document,question,course,prompt_tokens,result_tokens
"This document does not contain the answer to your question. This FAQ page covers how to access course materials, course duration, joining a course that has already started, live sessions, and finding the course channel on Slack. It does not provide information about signing up for the course. 
","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Where can I sign up for the course?,machine-learning-zoomcamp,621,57
"The provided text states that there is a link to sign up in the course GitHub repository and provides a link to a Data Engineering Zoomcamp FAQ as an example, but it does not provide a direct link to sign up for the Machine Learning Zoomcamp. Therefore, I cannot provide you with a sign-up link. 
","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Can you provide a link to sign up?,machine-learning-zoomcamp,401,65
"This question cannot be answered from the given context. Although it mentions an FAQ for the Data Engineering Zoomcamp, there is no mention of an FAQ specifically for the Machine Learning course. 
","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Is there an FAQ for this Machine Learning course?,machine-learning-zoomcamp,635,38
"This FAQ database does not contain the sign-up link for the course GitHub repository. However, it mentions that the course has a GitHub repository where you can find community notes. 
","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,Does this course have a GitHub repository for the sign-up link?,machine-learning-zoomcamp,917,37
"This document does not contain the answer to the question. There is no information on how to structure questions and answers for the course. However, there is information on how the projects are graded, how long the course is, how to access course materials, how much time is needed for the course, and what programming languages are acceptable. 
","Machine Learning Zoomcamp FAQ
The purpose of this document is to capture frequently asked technical questions.
We did this for our data engineering course and it worked quite well. Check this document for inspiration on how to structure your questions and answers:
Data Engineering Zoomcamp FAQ
In the course GitHub repository there’s a link. Here it is: https://airtable.com/shryxwLd0COOEaqXo
work",0227b872,How can I structure my questions and answers for the course?,machine-learning-zoomcamp,542,68
"The course videos are pre-recorded, and you can start watching them right now. 
","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Are the course videos live or pre-recorded?,machine-learning-zoomcamp,640,19
"You can start watching the course videos right now. The course videos are pre-recorded and available in the course playlist on YouTube. 
","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,When can I start watching the course videos?,machine-learning-zoomcamp,548,28
"Yes, the office hours sessions are recorded. You can find them along with the pre-recorded course videos in the course playlist on YouTube. 
","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Are the live office hours sessions recorded?,machine-learning-zoomcamp,880,30
"The office hours sessions, along with the pre-recorded course videos, are available in the course playlist on YouTube. 
","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Where can I find the office hours sessions?,machine-learning-zoomcamp,457,25
"The pre-recorded course videos are in the course playlist on YouTube. 
","The course videos are pre-recorded, you can start watching the course right now.
We will also occasionally have office hours - live sessions where we will answer your questions. The office hours sessions are recorded too.
You can see the office hours as well as the pre-recorded course videos in the course playlist on YouTube.",39fda9f0,Where can I access the pre-recorded course videos?,machine-learning-zoomcamp,641,16
"Yes, office hours sessions are recorded. You can find them along with the course videos in the course playlist on YouTube. 
","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Are sessions recorded if I miss one?,machine-learning-zoomcamp,396,26
"Yes, you can ask questions in advance for the office hours and they will be covered during the live stream. 
","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I ask questions in advance if I can't attend a live stream?,machine-learning-zoomcamp,490,24
"If you miss a session, you can submit your questions in advance of office hours and they will be answered during the live stream. You can also ask questions in Slack. 
","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,How will my questions be addressed if I miss a session?,machine-learning-zoomcamp,404,36
"Yes, everything is recorded so you won't miss anything. 
","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Is there a way to catch up on a missed session?,machine-learning-zoomcamp,377,15
"Yes, you can ask questions in advance of live office hour sessions so the instructors can answer them during the live stream. You can also ask questions in Slack. 
","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I still interact with instructors after missing a session?,machine-learning-zoomcamp,429,34
"The course uses the bare minimum of theory, focusing more on practical application. It covers theory only on an intuitive level. For example, it explains how to use logistic regression and interpret the results, but it doesn't derive the gradient update rule. 
","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,How much theoretical content is there in the course?,machine-learning-zoomcamp,589,52
